127.0.0.1 - - [06/Mar/2019:07:47:25 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [06/Mar/2019:07:47:28 +0530] "GET /ShoppersChoiceFrontend/ HTTP/1.1" 200 1683
0:0:0:0:0:0:0:1 - - [06/Mar/2019:07:47:33 +0530] "GET /ShoppersChoiceFrontend/home HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [06/Mar/2019:07:47:36 +0530] "GET /ShoppersChoiceFrontend/ HTTP/1.1" 200 1683
0:0:0:0:0:0:0:1 - - [06/Mar/2019:07:47:39 +0530] "GET /ShoppersChoiceFrontend/login HTTP/1.1" 200 1914
0:0:0:0:0:0:0:1 - - [06/Mar/2019:07:47:39 +0530] "GET /ShoppersChoiceFrontend/resources/images/Login.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Mar/2019:07:47:46 +0530] "GET /ShoppersChoiceFrontend/register HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [06/Mar/2019:07:55:29 +0530] "GET /ShoppersChoiceFrontend/login HTTP/1.1" 200 1914
0:0:0:0:0:0:0:1 - - [06/Mar/2019:07:55:30 +0530] "GET /ShoppersChoiceFrontend/resources/images/Login.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Mar/2019:07:55:32 +0530] "GET /ShoppersChoiceFrontend/home HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [06/Mar/2019:07:55:34 +0530] "GET /ShoppersChoiceFrontend/login HTTP/1.1" 200 1914
0:0:0:0:0:0:0:1 - - [06/Mar/2019:07:55:34 +0530] "GET /ShoppersChoiceFrontend/resources/images/Login.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Mar/2019:07:55:38 +0530] "GET /ShoppersChoiceFrontend/register HTTP/1.1" 200 3295
0:0:0:0:0:0:0:1 - - [06/Mar/2019:07:56:03 +0530] "GET /ShoppersChoiceFrontend/contactus HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [06/Mar/2019:07:56:06 +0530] "GET /ShoppersChoiceFrontend/register HTTP/1.1" 200 3295
0:0:0:0:0:0:0:1 - - [06/Mar/2019:07:57:32 +0530] "GET /ShoppersChoiceFrontend/register HTTP/1.1" 200 3295
0:0:0:0:0:0:0:1 - - [06/Mar/2019:07:57:38 +0530] "GET /ShoppersChoiceFrontend/contactus HTTP/1.1" 200 4108
0:0:0:0:0:0:0:1 - - [06/Mar/2019:07:59:36 +0530] "GET /ShoppersChoiceFrontend/contactus HTTP/1.1" 200 4114
0:0:0:0:0:0:0:1 - - [06/Mar/2019:08:00:03 +0530] "GET /ShoppersChoiceFrontend/register HTTP/1.1" 200 3295
0:0:0:0:0:0:0:1 - - [06/Mar/2019:08:00:03 +0530] "GET /ShoppersChoiceFrontend/login HTTP/1.1" 200 1914
0:0:0:0:0:0:0:1 - - [06/Mar/2019:08:00:03 +0530] "GET /ShoppersChoiceFrontend/ HTTP/1.1" 200 1683
0:0:0:0:0:0:0:1 - - [06/Mar/2019:08:00:24 +0530] "GET /ShoppersChoiceFrontend HTTP/1.1" 302 -
